age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
Unknown,98,07/05/2020,0.2,1,0,0
0-17,2260,08/05/2020,3.5,0,0,22.5
18-49,32004,08/05/2020,49.6,156,6.1,43.5
50-64,16250,08/05/2020,25.2,395,15.3,18.4
65+,13948,08/05/2020,21.6,2024,78.6,15.6
Unknown,99,08/05/2020,0.2,1,0,0
0-17,2373,09/05/2020,3.6,0,0,22.5
18-49,33190,09/05/2020,49.8,162,6.1,43.5
50-64,16729,09/05/2020,25.1,405,15.2,18.4
65+,14290,09/05/2020,21.4,2089,78.6,15.6
Unknown,98,09/05/2020,0.1,1,0,0
0-17,2444,10/05/2020,3.6,0,0,22.5
18-49,33805,10/05/2020,49.8,163,6.1,43.5
50-64,17002,10/05/2020,25,412,15.3,18.4
65+,14597,10/05/2020,21.5,2115,78.6,15.6
Unknown,91,10/05/2020,0.1,1,0,0
0-17,2549,11/05/2020,3.7,0,0,22.5
18-49,34573,11/05/2020,49.8,167,6.1,43.5
50-64,17322,11/05/2020,25,418,15.2,18.4
65+,14845,11/05/2020,21.4,2166,78.7,15.6
Unknown,93,11/05/2020,0.1,1,0,0
0-17,2672,12/05/2020,3.8,0,0,22.5
18-49,35567,12/05/2020,50,169,5.9,43.5
50-64,17701,12/05/2020,24.9,440,15.5,18.4
65+,15098,12/05/2020,21.2,2236,78.6,15.6
Unknown,103,12/05/2020,0.1,1,0,0
0-17,2799,13/05/2020,3.8,0,0,22.5
18-49,36602,13/05/2020,50,176,6,43.5
50-64,18154,13/05/2020,24.8,445,15.2,18.4
65+,15498,13/05/2020,21.2,2304,78.7,15.6
Unknown,111,13/05/2020,0.2,1,0,0
0-17,2951,14/05/2020,3.9,0,0,22.5
18-49,37637,14/05/2020,50.2,183,6,43.5
50-64,18510,14/05/2020,24.7,459,15.2,18.4
65+,15725,14/05/2020,21,2386,78.8,15.6
Unknown,113,14/05/2020,0.2,1,0,0
0-17,3064,15/05/2020,4,0,0,22.5
18-49,38611,15/05/2020,50.3,185,5.9,43.5
50-64,18908,15/05/2020,24.6,468,15,18.4
65+,16101,15/05/2020,21,2465,79,15.6
Unknown,109,15/05/2020,0.1,1,0,0
0-17,3225,16/05/2020,4.1,0,0,22.5
18-49,39651,16/05/2020,50.3,187,5.9,43.5
50-64,19365,16/05/2020,24.6,475,14.9,18.4
65+,16489,16/05/2020,20.9,2516,79.1,15.6
Unknown,109,16/05/2020,0.1,1,0,0
0-17,3355,17/05/2020,4.2,0,0,22.5
18-49,40539,17/05/2020,50.4,189,5.9,43.5
0-17,11064,16/06/2020,7,0,0,22.5
18-49,85325,16/06/2020,54.3,312,6.2,43.5
50-64,34922,16/06/2020,22.2,812,16,18.4
65+,25503,16/06/2020,16.2,3939,77.8,15.6
Missing,201,16/06/2020,0.1,1,0,0
0-17,10451,14/06/2020,6.9,0,0,22.5
18-49,81943,14/06/2020,54.1,307,6.2,43.5
50-64,33871,14/06/2020,22.4,798,16,18.4
65+,24981,14/06/2020,16.5,3874,77.8,15.6
Missing,206,14/06/2020,0.1,1,0,0
0-17,9819,12/06/2020,6.7,0,0,22.5
18-49,78441,12/06/2020,53.9,296,6.1,43.5
50-64,32783,12/06/2020,22.5,778,15.9,18.4
65+,24403,12/06/2020,16.8,3804,78,15.6
Missing,197,12/06/2020,0.1,1,0,0
0-17,7947,06/06/2020,6.2,0,0,22.5
18-49,68412,06/06/2020,53.1,269,6,43.5
50-64,29556,06/06/2020,22.9,709,15.8,18.4
65+,22704,06/06/2020,17.6,3523,78.3,15.6
Missing,193,06/06/2020,0.1,0,0,0
0-17,7678,05/06/2020,6.1,0,0,22.5
18-49,66755,05/06/2020,53,261,5.9,43.5
50-64,29033,05/06/2020,23,696,15.7,18.4
65+,22365,05/06/2020,17.7,3478,78.4,15.6
Missing,185,05/06/2020,0.1,0,0,0
50-64,19703,17/05/2020,24.5,481,15,18.4
65+,16727,17/05/2020,20.8,2546,79.2,15.2
Unknown,106,17/05/2020,0.1,0,0,0
0-17,3446,18/05/2020,4.2,0,0,22.5
18-49,41321,18/05/2020,50.5,190,5.8,43.5
50-64,20003,18/05/2020,24.5,483,14.9,18.4
65+,16920,18/05/2020,20.7,2577,79.3,15.6
Unknown,105,18/05/2020,0.1,0,0,0
0-17,3657,19/05/2020,4.4,0,0,22.5
18-49,42591,19/05/2020,50.7,195,5.8,43.5
50-64,20468,19/05/2020,24.4,509,15.1,18.4
65+,17232,19/05/2020,20.5,2670,79.1,15.6
Unknown,109,19/05/2020,0.1,0,0,0
0-17,3855,20/05/2020,4.5,0,0,22.5
18-49,43749,20/05/2020,50.8,198,5.7,43.5
50-64,20967,20/05/2020,24.3,522,15.1,18.4
65+,17513,20/05/2020,20.3,2731,79.1,15.6
Unknown,113,20/05/2020,0.1,0,0,0
0-17,4049,21/05/2020,4.6,0,0,22.5
18-49,44952,21/05/2020,50.8,203,5.7,43.5
50-64,21461,21/05/2020,24.3,536,15.1,18.4
65+,17864,21/05/2020,20.2,2805,79.1,15.6
Unknown,118,21/05/2020,0.1,0,0,0
0-17,4273,22/05/2020,4.7,0,0,22.5
18-49,46131,22/05/2020,50.9,203,5.7,43.5
50-64,21938,22/05/2020,24.2,544,15.2,18.4
65+,18164,22/05/2020,20,2842,79.2,15.6
Unknown,125,22/05/2020,0.1,0,0,0
0-17,4462,23/05/2020,4.8,0,0,22.5
18-49,47331,23/05/2020,51.1,204,5.6,43.5
50-64,22361,23/05/2020,24.1,556,15.2,18.4
65+,18424,23/05/2020,19.9,2885,79.1,15.6
Unknown,132,23/05/2020,0.1,1,0,0
0-17,4633,24/05/2020,4.9,0,0,22.5
18-49,48364,24/05/2020,51.1,206,5.6,43.5
50-64,22754,24/05/2020,24.1,560,15.3,18.4
65+,18670,24/05/2020,19.7,2899,79.1,15.6
Unknown,137,24/05/2020,0.1,1,0,0
0-17,4872,25/05/2020,5,0,0,22.5
18-49,49643,25/05/2020,51.3,208,5.7,43.5
50-64,23185,25/05/2020,24,560,15.2,18.4
65+,18898,25/05/2020,19.5,2911,79.1,15.6
Unknown,135,25/05/2020,0.1,0,0,0
0-17,5122,26/05/2020,5.2,0,0,22.5
18-49,50981,26/05/2020,51.5,210,5.7,43.5
50-64,23633,26/05/2020,23.9,564,15.2,18.4
65+,19095,26/05/2020,19.3,2933,79.1,15.6
Unknown,149,26/05/2020,0.2,0,0,0
0-17,5371,27/05/2020,5.3,0,0,22.5
18-49,52555,27/05/2020,51.7,218,5.7,43.5
50-64,24154,27/05/2020,23.8,579,15.2,18.4
65+,19462,27/05/2020,19.1,3019,79.1,15.6
Unknown,155,27/05/2020,0.2,0,0,0
0-17,5542,28/05/2020,5.3,0,0,22.5
18-49,53795,28/05/2020,51.8,222,5.7,43.5
50-64,24617,28/05/2020,23.7,599,15.3,18.4
65+,19773,28/05/2020,19,3083,79,15.6
Unknown,159,28/05/2020,0.2,0,0,0
0-17,5861,29/05/2020,5.5,0,0,22.5
18-49,55552,29/05/2020,52,228,5.7,43.5
50-64,25223,29/05/2020,23.6,618,15.5,18.4
65+,20073,29/05/2020,18.8,3139,78.8,15.6
Unknown,169,29/05/2020,0.2,0,0,0
0-17,6254,30/05/2020,5.7,0,0,22.5
18-49,57738,30/05/2020,52.2,230,5.7,43.5
50-64,25964,30/05/2020,23.5,627,15.5,18.4
65+,20455,30/05/2020,18.5,3186,78.8,15.6
Unknown,172,30/05/2020,0.2,0,0,0
0-17,6488,31/05/2020,5.7,0,0,22.5
18-49,59144,31/05/2020,52.3,231,5.7,43.5
50-64,26405,31/05/2020,23.4,636,15.6,18.4
65+,20792,31/05/2020,18.4,3213,78.8,15.6
Unknown,177,31/05/2020,0.2,0,0,0
0-17,6706,01/06/2020,5.8,0,0,22.5
18-49,60493,01/06/2020,52.5,235,5.7,43.5
50-64,26880,01/06/2020,23.3,642,15.6,18.4
65+,21054,01/06/2020,18.3,3250,78.7,15.6
Missing,177,01/06/2020,0.2,0,0,0
0-17,6925,02/06/2020,5.9,0,0,22.5
18-49,61896,02/06/2020,52.6,248,5.9,43.5
50-64,27334,02/06/2020,23.2,662,15.6,18.4
65+,21354,02/06/2020,18.1,3321,78.5,15.6
Missing,178,02/06/2020,0.2,0,0,0
0-17,7119,03/06/2020,5.9,0,0,22.5
18-49,63152,03/06/2020,52.7,250,5.8,43.5
50-64,27762,03/06/2020,23.2,671,15.6,18.4
65+,21595,03/06/2020,18,3377,78.6,15.6
Missing,179,03/06/2020,0.1,0,0,0
0-17,7408,04/06/2020,6,0,0,22.5
18-49,64914,04/06/2020,52.8,257,5.9,43.5
50-64,28396,04/06/2020,23.1,686,15.7,18.4
65+,22002,04/06/2020,17.9,3425,78.4,15.6
Missing,181,04/06/2020,0.1,0,0,0
0-17,8248,07/06/2020,6.3,0,0,22.5
18-49,69915,07/06/2020,53.2,271,6,43.5
50-64,30025,07/06/2020,22.9,715,15.8,18.4
65+,22939,07/06/2020,17.5,3542,78.2,15.6
Missing,192,07/06/2020,0.1,0,0,0
0-17,8509,08/06/2020,6.4,0,0,22.5
18-49,71233,08/06/2020,53.4,274,6,43.5
50-64,30400,08/06/2020,22.8,721,15.8,18.4
65+,23154,08/06/2020,17.3,3564,78.2,15.6
Missing,193,08/06/2020,0.1,0,0,0
0-17,8800,09/06/2020,6.5,0,0,22.5
18-49,72829,09/06/2020,53.5,280,6,43.5
50-64,30914,09/06/2020,22.7,741,15.9,18.4
65+,23469,09/06/2020,17.2,3642,78.1,15.6
Missing,179,09/06/2020,0.1,0,0,0
0-17,9136,10/06/2020,6.6,0,0,22.5
18-49,74622,10/06/2020,53.6,291,6.1,43.5
50-64,31530,10/06/2020,22.6,756,15.9,18.4
65+,23806,10/06/2020,17.1,3721,78,15.6
Missing,187,10/06/2020,0.1,1,0,0
0-17,9461,11/06/2020,6.7,0,0,22.5
18-49,76220,11/06/2020,53.7,295,6.1,43.5
50-64,32069,11/06/2020,22.6,771,16,18.4
65+,24043,11/06/2020,16.9,3765,77.9,15.6
Missing,190,11/06/2020,0.1,1,0,0
